forename;name_day;gender
Eliška;5.10.;F
Tereza;15.10.;F
Anna;26.7.;F
Adéla;2.9.;F
Ema;8.4.;F
Viktorie;10.3.;F
Sofie;15.5.;F
Karolína;14.7.;F
Kristýna;24.7.;F
Barbora;4.12.;F
Veronika;7.2.;F
Nela;2.2.;F
Lucie;13.12.;F
Julie;10.12.;F
Laura;1.6.;F
Kateřina;25.11.;F
Marie;12.9.;F
Klára;12.8.;F
Aneta;17.5.;F
Amálie;10.7.;F
Rozálie;4.9.;F
Anežka;2.3.;F
Zuzana;11.8.;F
Nikola;20.11.;F
Sára;9.10.;F
Michaela;19.10.;F
Gabriela;8.3.;F
Markéta;13.7.;F
Magdaléna;22.7.;F
Alžběta;19.11.;F
Elena;16.3.;F
Vanesa;24.5.;F
Adriana;26.6.;F
Linda;1.9.;F
Jana;24.5.;F
Sabina;22.10.;F
Liliana;25.2.;F
Štěpánka;31.10.;F
Denisa;11.9.;F
Hana;15.8.;F
Nina;24.10.;F
Eva;24.12.;F
Agáta;14.10.;F
Johana;21.8.;F
Stela;4.3.;F
Beáta;25.10.;F
Dominika;4.8.;F
Simona;12.12.;F
Ester;19.12.;F
Andrea;26.9.;F
Klaudie;5.5.;F
Daniela;9.9.;F
Monika;21.5.;F
Izabela;11.4.;F
Vendula;6.4.;F
Magdalena;22.7.;F
Alice;15.1.;F
Terezie;15.10.;F
Alena;13.8.;F
Mariana;8.9.;F
Helena;18.8.;F
Valentýna;14.2.;F
Lenka;21.2.;F
Šárka;30.6.;F
Petra;17.8.;F
Diana;4.1.;F
Emílie;24.11.;F
Antonie;12.6.;F
Justýna;7.10.;F
Martina;17.7.;F
Alexandra;21.4.;F
Patricie;2.7.;F
Šarlota;27.10.;F
Evelína;29.8.;F
Miriam;5.11.;F
Lea;22.3.;F
Žofie;15.5.;F
Dorota;26.2.;F
Valérie;18.4.;F
Jolana;15.9.;F
Viola;25.5.;F
Pavlína;31.8.;F
Anastázie;15.4.;F
Zora;26.1.;F
Kamila;31.5.;F
Edita;13.1.;F
Lada;7.8.;F
Apolena;9.2.;F
Anita;26.7.;F
Kristina;24.7.;F
Matylda;14.3.;F
Karla;4.11.;F
Leona;22.3.;F
Sandra;23.8.;F
Tamara;3.6.;F
Františka;9.3.;F
Darina;22.9.;F
Ivana;4.4.;F
Silvie;29.10.;F
Pavla;22.6.;F
Soňa;28.3.;F
Vanda;6.2.;F
Jitka;5.12.;F
Anděla;11.3.;F
Věra;8.10.;F
Dita;27.3.;F
Hedvika;17.10.;F
Olga;11.7.;F
Gita;10.6.;F
Emilie;24.11.;F
Iveta;7.6.;F
Marcela;20.4.;F
René;28.11.;F
Zdeňka;23.6.;F
Iva;1.12.;F
Magda;22.7.;F
Libuše;10.7.;F
Zita;19.9.;F
Jindřiška;4.9.;F
Ludmila;16.9.;F
Dora;26.2.;F
Radka;14.9.;F
Marta;29.7.;F
Michala;19.10.;F
Marika;31.1.;F
Karolina;14.7.;F
Irena;16.4.;F
Žaneta;27.12.;F
Vilma;7.1.;F
Nora;8.7.;F
Eleonora;21.2.;F
Erika;2.4.;F
Běla;21.1.;F
Berta;23.9.;F
Taťána;29.3.;F
Ida;15.3.;F
Juliana;16.2.;F
Blanka;2.12.;F
Růžena;13.3.;F
Hermína;7.4.;F
Dana;11.12.;F
Jiřina;15.2.;F
Romana;18.11.;F
Zoja;27.10.;F
Zlata;25.9.;F
Miroslava;5.4.;F
Zina;29.11.;F
Judita;29.12.;F
Milena;24.1.;F
Darja;10.4.;F
Jaroslava;1.7.;F
Ilona;20.1.;F
Dagmar;20.12.;F
Vlasta;23.12.;F
Nataša;18.5.;F
Naďa;17.9.;F
Naděžda;17.9.;F
Světlana;20.3.;F
Jarmila;4.2.;F
Josefa;19.3.;F
Květa;20.6.;F
Milada;8.2.;F
Marina;10.10.;F
Justina;26.9.;F
Brigita;21.10.;F
Doubravka;19.1.;F
Nikita;15.9.;F
Miluše;3.8.;F
Regina;7.9.;F
Rút;14.3.;F
Mirka;5.4.;F
Vladimíra;23.5.;F
Cecílie;22.11.;F
Ingrid;27.1.;F
Lýdie;14.12.;F
Karina;2.1.;F
Bohdana;11.1.;F
Božena;11.2.;F
Renáta;13.10.;F
Oldřiška;6.8.;F
Stanislava;9.6.;F
Alina;28.7.;F
Albína;16.12.;F
Květoslava;8.12.;F
Miloslava;17.2.;F
Margita;10.6.;F
Květuše;20.6.;F
Irma;10.9.;F
Danuše;11.12.;F
Bohumila;28.12.;F
Drahomíra;18.7.;F
Slávka;12.2.;F
Zdislava;29.1.;F
Regína;7.9.;F
Živa;25.10.;F
Radana;15.12.;F
Saskie;7.11.;F
Vladislava;18.1.;F
Sylva;29.10.;F
Václava;28.9.;F
Dobroslava;5.6.;F
Háta;9.1.;F
Bedřiška;1.3.;F
Aloisie;21.6.;F
Aurora;5.8.;F
Mahulena;17.11.;F
Ladislava;27.6.;F
Liběna;6.11.;F
Lydie;14.12.;F
Lidmila;16.9.;F
Milota;26.10.;F
Ilja;20.7.;F
Blažena;10.5.;F
Gizela;18.2.;F
Gertruda;17.11.;F
Drahoslava;9.7.;F
Slavomíra;22.1.;F
Světla;20.3.;F
Xenie;27.11.;F
Vítězslava;21.7.;F
Rostislava;19.4.;F
Radmila;3.1.;F
Zlatuše;25.9.;F
Jakub;25.7.;M
Jan;24.6.;M
Adam;24.12.;M
Tomáš;7.3.;M
Matyáš;24.2.;M
Filip;26.5.;M
Ondřej;30.11.;M
Vojtěch;23.4.;M
Matěj;24.2.;M
David;30.12.;M
Lukáš;18.10.;M
Natálie;21.12.;M
Dominik;4.8.;M
Martin;11.11.;M
Daniel;17.12.;M
Šimon;22.12.;M
Štěpán;26.12.;M
Petr;29.6. 22.2.;M
Antonín;13.6.;M
Jiří;24.4.;M
Marek;25.4.;M
Michal;29.9.;M
Kryštof;18.9.;M
Václav;28.9.;M
Tobiáš;2.11.;M
Josef;19.3.;M
Samuel;1.9.;M
Mikuláš;6.12.;M
Patrik;19.2.;M
František;4.10.;M
Tadeáš;30.10.;M
Pavel;29.6.;M
Oliver;2.10.;M
Jonáš;27.9.;M
Richard;3.4.;M
Jáchym;16.8.;M
Viktor;28.7.;M
Michael;29.9.;M
Vít;15.6.;M
Jaroslav;27.4.;M
Karel;4.11.;M
Miroslav;6.3.;M
Matouš;21.9.;M
Maxmilián;29.5.;M
Jindřich;15.7.;M
Kristián;5.8.;M
Robin;30.1.;M
Radek;21.3.;M
Denis;11.9.;M
Alexandr;27.2.;M
Sebastián;20.1.;M
Teodor;23.10.;M
Milan;18.6.;M
Eduard;18.3.;M
Erik;26.10.;M
Roman;9.8.;M
Zdeněk;23.1.;M
Albert;21.11.;M
Vilém;28.5.;M
Maxim;29.5.;M
Damián;27.9.;M
Radim;25.8.;M
Ladislav;27.6.;M
Stanislav;7.5.;M
Vladimír;23.5.;M
Zoe;27.10.;M
Aleš;13.4.;M
Hynek;1.2.;M
Hugo;1.4.;M
Gabriel;24.3.;M
Adrian;26.6.;M
Kevin;3.6.;M
Robert;29.4.;M
Rostislav;19.4.;M
Jaromír;24.9.;M
Bruno;11.6.;M
Bartoloměj;24.8.;M
Oskar;1.8.;M
Rudolf;17.4.;M
Prokop;4.7.;M
Oldřich;20.2.;M
Artur;26.11.;M
Libor;23.7.;M
Vítězslav;21.7.;M
Andrej;11.10.;M
Maxmilian;12.10.;M
Benedikt;12.11.;M
Fabián;20.1.;M
Ivan;25.6.;M
Kamil;3.3.;M
Radovan;14.1.;M
Felix;1.11.;M
Hubert;3.11.;M
Dalibor;4.6.;M
Alois;21.6.;M
Luboš;16.7.;M
Metoděj;5.7.;M
Vendelín;20.10.;M
Přemysl;16.5.;M
Čeněk;19.7.;M
Boris;5.9.;M
Benjamín;7.12.;M
Marián;25.3.;M
Otakar;27.8.;M
Lubomír;28.6.;M
Jeroným;30.9.;M
Alan;14.8.;M
Miloš;25.1.;M
Zbyněk;16.6.;M
Štefan;9.10.;M
Barnabáš;11.6.;M
Miloslav;18.12.;M
Ivo;19.5.;M
Emil;22.5.;M
Dušan;9.4.;M
Bohumil;3.10.;M
Tibor;13.11.;M
Vladislav;18.1.;M
Rafael;24.10.;M
Arnošt;30.3.;M
Ludvík;19.8.;M
Marcel;12.10.;M
Kvido;31.3.;M
Leoš;19.6.;M
Bedřich;1.3.;M
Ferdinand;30.5.;M
Cyril;5.7.;M
Vlastimil;17.3.;M
Bohuslav;22.8.;M
Luděk;26.8.;M
Igor;1.10.;M
Leo;19.6.;M
Bořek;12.7.;M
Mojmír;10.2.;M
Vavřinec;10.8.;M
Radomír;3.7.;M
Bernard;20.8.;M
Bonifác;14.5.;M
Kryšpín;25.10.;M
Svatopluk;23.2.;M
Vratislav;9.12.;M
Alexej;3.5.;M
Bořivoj;30.7.;M
Bronislav;3.9.;M
Břetislav;10.1.;M
Čestmír;8.1.;M
Medard;8.6.;M
Roland;14.6.;M
Radoslav;6.5.;M
Oto;26.4.;M
Melichar;6.1.;M
Norbert;6.6.;M
Dalimil;5.1.;M
Ernest;30.3.;M
Evžen;10.11.;M
Gustav;2.8.;M
Hanuš;6.10.;M
Lumír;28.2.;M
Ignác;31.7.;M
Herbert;16.3.;M
Radan;15.12.;M
Zbyšek;20.5.;M
Slavomír;22.1.;M
Valentýn;14.2.;M
Zoltán;8.3.;M
Vlastislav;28.4.;M
Leopold;15.11.;M
Heřman;7.4.;M
Diviš;9.10.;M
Edmund;1.12.;M
Emanuel;26.3.;M
Adolf;17.6.;M
Bohdan;9.11.;M
Augustin;28.8.;M
Augustýn;28.8.;M
Vladan;9.1.;M
Vincenc;14.4.;M
Valdemar;27.5.;M
Simeon;18.2.;M
Svatoslav;3.12.;M
Zlatan;27.7.;M
Zlatko;27.7.;M
Silvestr;31.12.;M
Bohumír;8.11.;M
Boleslav;6.9.;M
Drahoslav;17.1.;M
Ctirad;16.1.;M
Kašpar;6.1.;M
Julius;12.4.;M
Kajetán;7.8.;M
Lucián;7.1.;M
Lubor;13.9.;M
Lutobor;30.3.;M
Oktavián;22.3.;M
Klement;23.11.;M
Konrád;19.2.;M
Lambert;17.9.;M
Květoslav;4.5.;M
Jarolím;30.9.;M
Celestýn;6.4.;M
Dimitrij;26.10.;M
Emerich;5.11.;M
Emilián;11.9.;M
Erazim;2.6.;M
Havel;16.10.;M
Borek;12.7.;M
Baltazar;6.1.;M
Bivoj;13.10.;M
Blahoslav;30.4.;M
Blažej;3.2.;M
Artuš;2.1.;M
Amos;16.3.;M
Sergej;7.10.;M
Servác;13.5.;M
Řehoř;12.3.;M
Přemek;29.3.;M
Radomil;3.1.;M
Pankrác;12.5.;M
Zdislav;29.1.;M
Zikmund;2.5.;M
Věnceslav;13.2.;M
Amát;13.9.;M
